storage_path,local_path,image_source,status,source_table,source_field,source_id,source_label,db_url
homepage/tour-types/1784901621195-home-page-family.png,/images/homepage/tour-types/1784901621195-home-page-family.png,supabase-upload,downloaded,homepage_settings,tour_types.image,family,Tour type 2,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/homepage/tour-types/1784901621195-home-page-family.png
homepage/tour-types/1784901628750-home-page-honeymoon.png,/images/homepage/tour-types/1784901628750-home-page-honeymoon.png,supabase-upload,downloaded,homepage_settings,tour_types.image,honeymoon,Tour type 3,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/homepage/tour-types/1784901628750-home-page-honeymoon.png
homepage/tour-types/1784901637351-home-page-leisure.png,/images/homepage/tour-types/1784901637351-home-page-leisure.png,supabase-upload,failed,homepage_settings,tour_types.image,leisure,Tour type 4,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/homepage/tour-types/1784901637351-home-page-leisure.png
homepage/tour-types/1784901862534-chatgpt-image-jul-24-2026-07-34-08-pm.png,/images/homepage/tour-types/1784901862534-chatgpt-image-jul-24-2026-07-34-08-pm.png,supabase-upload,downloaded,homepage_settings,tour_types.image,pilgrimage,Tour type 5,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/homepage/tour-types/1784901862534-chatgpt-image-jul-24-2026-07-34-08-pm.png
homepage/hero/1784902068215-chatgpt-image-jul-24-2026-07-36-30-pm.png,/images/homepage/hero/1784902068215-chatgpt-image-jul-24-2026-07-36-30-pm.png,supabase-upload,downloaded,homepage_settings,tour_types.image,solo,Tour type 6,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/homepage/hero/1784902068215-chatgpt-image-jul-24-2026-07-36-30-pm.png
,,unsplash-external,not-downloaded,packages,image_url,dubai-city-desert-5d4n,Dubai City &amp; Desert,https://images.unsplash.com/photo-1512453979798-5ea266f8880c?auto=format&fit=crop&w=1200&q=70
,,unsplash-external,not-downloaded,packages,image_url,bali-island-escape-6d5n,Bali Island Escape,https://images.unsplash.com/photo-1537996194471-e657df975ab4?auto=format&fit=crop&w=1200&q=70
,,unsplash-external,not-downloaded,destinations,image_url,dubai (international),Dubai,https://images.unsplash.com/photo-1512453979798-5ea266f8880c?auto=format&fit=crop&w=800&q=70
,,unsplash-external,not-downloaded,gallery_images,image_url,b5092f23-b1a8-4dd4-904b-4508309d5836,Dubai Skyline (International),https://images.unsplash.com/photo-1512453979798-5ea266f8880c?auto=format&fit=crop&w=800&q=70
,,unsplash-external,not-downloaded,destinations,image_url,bali (international),"Bali, Indonesia",https://images.unsplash.com/photo-1537996194471-e657df975ab4?auto=format&fit=crop&w=800&q=70
,,unsplash-external,not-downloaded,gallery_images,image_url,0391ec04-7bdc-43df-896b-cbdf9e3639bd,Bali Rice Terraces (International),https://images.unsplash.com/photo-1537996194471-e657df975ab4?auto=format&fit=crop&w=800&q=70
,,unsplash-external,not-downloaded,destinations,image_url,thailand (international),Thailand,https://images.unsplash.com/photo-1528181304800-259b08848526?auto=format&fit=crop&w=800&q=70
,,unsplash-external,not-downloaded,gallery_images,image_url,ef67fce5-d99a-4db3-8071-4c541fc6f994,Thailand Islands (International),https://images.unsplash.com/photo-1528181304800-259b08848526?auto=format&fit=crop&w=800&q=70
,,unsplash-external,not-downloaded,destinations,image_url,maldives (international),Maldives,https://images.unsplash.com/photo-1514282401047-d79a71a590e8?auto=format&fit=crop&w=800&q=70
,,unsplash-external,not-downloaded,gallery_images,image_url,e68ca37d-e83b-4681-855b-ba2d902b11f7,Maldives Lagoon (International),https://images.unsplash.com/photo-1514282401047-d79a71a590e8?auto=format&fit=crop&w=800&q=70
,,unsplash-external,not-downloaded,gallery_images,image_url,ff19ae82-ae1c-4fd6-80b5-87775dc464aa,"Dal Lake, Kashmir (Domestic)",https://plus.unsplash.com/premium_photo-1690407617542-2f210cf20d7e?q=80&w=387&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
,,unsplash-external,not-downloaded,testimonials,photo_url,2bf71dbf-99f2-4444-95ec-0f661d5f1911,Jatin Trivedi (Ahmedabad),https://plus.unsplash.com/premium_photo-1690407617542-2f210cf20d7e?q=80&w=387&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
,,unsplash-external,not-downloaded,gallery_images,image_url,668de68f-d918-480d-8cc5-7a1771e5325b,Kerala Backwaters (Domestic),https://images.unsplash.com/photo-1602216056096-3b40cc0c9944?auto=format&fit=crop&w=800&q=70
,,unsplash-external,not-downloaded,gallery_images,image_url,adeb7b43-b6d6-4bf3-9d73-01e2c4a3c20b,Rajasthan Forts (Domestic),https://images.unsplash.com/photo-1599661046289-e31897846e41?auto=format&fit=crop&w=800&q=70
,,unsplash-external,not-downloaded,gallery_images,image_url,316cdbda-674a-4a09-93ab-8c2ac12422c2,Goa Sunsets (Domestic),https://images.unsplash.com/photo-1512343879784-a960bf40e7f2?auto=format&fit=crop&w=800&q=70
,,unsplash-external,not-downloaded,gallery_images,image_url,c5a51607-3529-4093-bd9d-81075ebf5e34,Swiss Alps (International),https://images.unsplash.com/photo-1502602898657-3e91760cbb34?auto=format&fit=crop&w=800&q=70
,,unsplash-external,not-downloaded,blog_posts,featured_image_url,goa-monsoon-getaway-guide,Goa Beyond the Beaches: A Monsoon Getaway Guide,https://images.unsplash.com/photo-1512343879784-a960bf40e7f2?auto=format&fit=crop&w=1200&q=70
,,unsplash-external,not-downloaded,blog_posts,featured_image_url,kerala-houseboat-planning-tips,Planning the Perfect Kerala Houseboat Experience,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944?auto=format&fit=crop&w=1200&q=70
,,unsplash-external,not-downloaded,blog_posts,featured_image_url,schengen-visa-checklist-2026,Schengen Visa Checklist for Indian Travellers (2026),https://images.unsplash.com/photo-1502602898657-3e91760cbb34?auto=format&fit=crop&w=1200&q=70
